pool,repeat,tx,width,set_ms,samples,read_p50_us,read_p99_us,read_max_us,queue_p99_us,queue_max_us
32,0,0,1,25.027,237,34,102,144,29,44
32,0,4,1,48.571,483,23,54,99,14,20
32,0,4,64,38.911,376,31,84,299,21,38
32,0,16,1,155.727,1507,30,67,131,22,37
32,0,16,64,155.559,1488,31,78,365,25,44
32,1,0,1,25.033,232,60,134,208,47,72
32,1,4,64,39.824,380,33,72,144,29,39
32,1,4,1,52.574,522,26,55,113,18,24
32,1,16,64,164.391,1588,31,70,118,25,65
32,1,16,1,157.589,1523,30,74,147,23,40
512,0,0,1,25.081,238,23,68,102,30,40
512,0,4,1,48.942,488,23,50,131,17,60
512,0,4,64,41.284,400,31,74,103,24,72
512,0,16,1,146.536,1413,29,67,180,23,40
512,0,16,64,153.645,1477,31,68,368,24,67
512,1,0,1,25.028,232,58,143,209,59,174
512,1,4,64,40.629,391,31,66,102,26,39
512,1,4,1,49.661,496,23,48,74,17,37
512,1,16,64,161.369,1550,31,68,151,22,61
512,1,16,1,156.586,1498,30,62,138,22,52
