codec,k,n,trace,assemblies,seed,schedule,gap_ms,arrivals,rank,valid,matrix_ms,encode_ms,root_ms,proof_ms,elimination_ms,backsub_ms,reencode_root_ms,elimination_before_last_ms,tail_ms,completion_ms,array_storage_bound_bytes,process_peak_rss_kib,warmup
rs16,8,10,systematic,1,100,batch,0,8,8,1,0.008015,0.733926,1.68771,0.638268,0.010099,0.000301,1.35439,0,2.00306,2.00306,2883872,23824,1
rs16,8,10,systematic,1,100,batch,0.1,8,8,1,0.008015,0.733926,1.68771,0.638268,0.010099,0.000301,1.35439,0,1.44448,2.14448,2883872,23824,1
rs16,8,10,systematic,1,100,batch,1,8,8,1,0.008015,0.733926,1.68771,0.638268,0.010099,0.000301,1.35439,0,1.44448,8.44448,2883872,23824,1
rs16,8,10,systematic,1,100,online,0,8,8,1,0.008015,0.733926,1.68771,0.638268,0.010099,0.000301,1.35439,0,2.00306,2.00306,2883872,23824,1
rs16,8,10,systematic,1,100,online,0.1,8,8,1,0.008015,0.733926,1.68771,0.638268,0.010099,0.000301,1.35439,0.008927,1.43555,2.13555,2883872,23824,1
rs16,8,10,systematic,1,100,online,1,8,8,1,0.008015,0.733926,1.68771,0.638268,0.010099,0.000301,1.35439,0.008927,1.43555,8.43555,2883872,23824,1
rs16,8,10,systematic,1,100,online_eager,0,8,8,1,0.008015,0.733926,1.68771,0.597029,0.010081,6.1e-05,1.29874,0,1.90591,1.90591,2883872,23824,1
rs16,8,10,systematic,1,100,online_eager,0.1,8,8,1,0.008015,0.733926,1.68771,0.597029,0.010081,6.1e-05,1.29874,0.008849,1.37508,2.07508,2883872,23824,1
rs16,8,10,systematic,1,100,online_eager,1,8,8,1,0.008015,0.733926,1.68771,0.597029,0.010081,6.1e-05,1.29874,0.008849,1.37508,8.37508,2883872,23824,1
rs16,8,10,systematic,1,101,batch,0,8,8,1,0.006061,0.529854,0.622127,0.584237,0.01052,0.000191,1.29445,0,1.8894,1.8894,2883872,23824,0
rs16,8,10,systematic,1,101,batch,0.1,8,8,1,0.006061,0.529854,0.622127,0.584237,0.01052,0.000191,1.29445,0,1.38453,2.08453,2883872,23824,0
rs16,8,10,systematic,1,101,batch,1,8,8,1,0.006061,0.529854,0.622127,0.584237,0.01052,0.000191,1.29445,0,1.38453,8.38453,2883872,23824,0
rs16,8,10,systematic,1,101,online,0,8,8,1,0.006061,0.529854,0.622127,0.584237,0.01052,0.000191,1.29445,0,1.8894,1.8894,2883872,23824,0
rs16,8,10,systematic,1,101,online,0.1,8,8,1,0.006061,0.529854,0.622127,0.584237,0.01052,0.000191,1.29445,0.009408,1.37512,2.07512,2883872,23824,0
rs16,8,10,systematic,1,101,online,1,8,8,1,0.006061,0.529854,0.622127,0.584237,0.01052,0.000191,1.29445,0.009408,1.37512,8.37512,2883872,23824,0
rs16,8,10,systematic,1,101,online_eager,0,8,8,1,0.006061,0.529854,0.622127,0.584557,0.009378,5e-05,1.29544,0,1.88943,1.88943,2883872,23824,0
rs16,8,10,systematic,1,101,online_eager,0.1,8,8,1,0.006061,0.529854,0.622127,0.584557,0.009378,5e-05,1.29544,0.008205,1.37392,2.07392,2883872,23824,0
rs16,8,10,systematic,1,101,online_eager,1,8,8,1,0.006061,0.529854,0.622127,0.584557,0.009378,5e-05,1.29544,0.008205,1.37392,8.37392,2883872,23824,0
rs16,8,10,systematic,1,102,batch,0,8,8,1,0.013485,0.371738,0.308609,0.326562,0.00499,0.00014,0.700585,0,1.03228,1.03228,2883872,23824,0
rs16,8,10,systematic,1,102,batch,0.1,8,8,1,0.013485,0.371738,0.308609,0.326562,0.00499,0.00014,0.700585,0,0.744538,1.44454,2883872,23824,0
rs16,8,10,systematic,1,102,batch,1,8,8,1,0.013485,0.371738,0.308609,0.326562,0.00499,0.00014,0.700585,0,0.744538,7.74454,2883872,23824,0
rs16,8,10,systematic,1,102,online,0,8,8,1,0.013485,0.371738,0.308609,0.326562,0.00499,0.00014,0.700585,0,1.03228,1.03228,2883872,23824,0
rs16,8,10,systematic,1,102,online,0.1,8,8,1,0.013485,0.371738,0.308609,0.326562,0.00499,0.00014,0.700585,0.004449,0.740089,1.44009,2883872,23824,0
rs16,8,10,systematic,1,102,online,1,8,8,1,0.013485,0.371738,0.308609,0.326562,0.00499,0.00014,0.700585,0.004449,0.740089,7.74009,2883872,23824,0
rs16,8,10,systematic,1,102,online_eager,0,8,8,1,0.013485,0.371738,0.308609,0.315721,0.006262,3e-05,0.691327,0,1.01334,1.01334,2883872,23824,0
rs16,8,10,systematic,1,102,online_eager,0.1,8,8,1,0.013485,0.371738,0.308609,0.315721,0.006262,3e-05,0.691327,0.005671,0.73055,1.43055,2883872,23824,0
rs16,8,10,systematic,1,102,online_eager,1,8,8,1,0.013485,0.371738,0.308609,0.315721,0.006262,3e-05,0.691327,0.005671,0.73055,7.73055,2883872,23824,0
rs16,8,10,systematic,1,103,batch,0,8,8,1,0.003727,0.25562,0.290675,0.283583,0.005531,0.00014,0.63431,0,0.923564,0.923564,2883872,23824,0
rs16,8,10,systematic,1,103,batch,0.1,8,8,1,0.003727,0.25562,0.290675,0.283583,0.005531,0.00014,0.63431,0,0.675889,1.37589,2883872,23824,0
rs16,8,10,systematic,1,103,batch,1,8,8,1,0.003727,0.25562,0.290675,0.283583,0.005531,0.00014,0.63431,0,0.675889,7.67589,2883872,23824,0
rs16,8,10,systematic,1,103,online,0,8,8,1,0.003727,0.25562,0.290675,0.283583,0.005531,0.00014,0.63431,0,0.923564,0.923564,2883872,23824,0
rs16,8,10,systematic,1,103,online,0.1,8,8,1,0.003727,0.25562,0.290675,0.283583,0.005531,0.00014,0.63431,0.00489,0.670999,1.371,2883872,23824,0
rs16,8,10,systematic,1,103,online,1,8,8,1,0.003727,0.25562,0.290675,0.283583,0.005531,0.00014,0.63431,0.00489,0.670999,7.671,2883872,23824,0
rs16,8,10,systematic,1,103,online_eager,0,8,8,1,0.003727,0.25562,0.290675,0.278053,0.004648,2e-05,0.61294,0,0.895661,0.895661,2883872,23824,0
